Date,Open,High,Low,Close,Volume,Closedate,Assetvol,NOT,TBB,TBQ,Ignore
1612116000.0,32302.32000000,32411.08000000,32171.67000000,32345.97000000,529.62945300,1612116299999,17091936.18393123,11947,268.30838500,8659851.05616228,0
1612116300.0,32347.57000000,32448.88000000,32282.38000000,32358.80000000,353.35378700,1612116599999,11438944.57100451,8173,164.66957200,5329992.79454370,0
1612116600.0,32358.79000000,32474.28000000,32319.38000000,32472.62000000,217.93816200,1612116899999,7067083.59589546,6556,109.25169600,3542654.64332268,0
1612116900.0,32472.62000000,32538.28000000,32382.52000000,32458.32000000,319.80935600,1612117199999,10381044.78219147,7422,168.80571600,5479746.03709211,0
1612117200.0,32458.32000000,32533.33000000,32443.93000000,32510.59000000,237.71694100,1612117499999,7722787.67082725,5607,118.80058800,3859912.31339455,0
1612117500.0,32510.64000000,32570.00000000,32421.53000000,32540.94000000,250.29218400,1612117799999,8132472.03427318,6378,94.14378900,3059057.01945515,0
1612117800.0,32540.93000000,32608.00000000,32505.12000000,32570.00000000,207.66653800,1612118099999,6763648.56746063,5666,121.28736700,3950443.98328014,0
1612118100.0,32570.00000000,32646.68000000,32524.02000000,32629.47000000,236.65341200,1612118399999,7709845.80046133,6197,120.50562100,3926674.58611492,0
1612118400.0,32630.19000000,32712.71000000,32600.31000000,32693.08000000,320.16040800,1612118699999,10450325.39952692,7177,179.87474100,5871376.12988799,0
1612118700.0,32677.73000000,32697.06000000,32593.98000000,32602.55000000,253.28066400,1612118999999,8264836.48021118,5967,91.62600100,2990093.21143970,0
1612119000.0,32602.55000000,32849.71000000,32571.89000000,32663.42000000,500.33290100,1612119299999,16360359.57329349,11512,267.90710000,8761261.78628432,0
1612119300.0,32663.41000000,32718.43000000,32427.26000000,32450.30000000,502.94468400,1612119599999,16385926.51847791,12498,209.64913600,6831751.61964460,0
1612119600.0,32449.53000000,32602.85000000,32400.27000000,32589.30000000,368.80375000,1612119899999,11999626.60381286,8961,160.89820800,5234652.72421625,0
